ioc_value,ioc_type,risk_score,risk_level,tags,vt_detected,vt_malicious,vt_suspicious,vt_total_engines,vt_detection_ratio,vt_reputation,vt_categories,abuse_confidence_score,abuse_total_reports,abuse_distinct_users,abuse_country,abuse_isp,abuse_usage_type,shodan_org,shodan_country,shodan_open_ports,shodan_cves,shodan_os,summary,enriched_at
185.220.101.45,ip,44,medium,abusive-ip|country:DE|malicious|tor,True,16,3,94,16/94,-21,,95,105,48,DE,Network for Tor-Exit traffic.,Fixed Line ISP,,,,,,🟡 IOC sospechoso: 185.220.101.45 | VirusTotal: 16/94 motores detectaron amenaza | AbuseIPDB: Confianza de abuso 95% (105 reportes),2026-03-11T16:04:17.579334
44d88612fea8a8f36de82e1278abb02f,hash_md5,94,critical,attachment|detect-debug-environment|direct-cpu-clock-access|known-distributor|malicious|powershell,True,64,0,68,64/68,3725,,,,,,,,,,,,,⚠️ IOC de ALTO RIESGO: 44d88612fea8a8f36de82e1278abb02f | VirusTotal: 64/68 motores detectaron amenaza,2026-03-11T16:04:17.580230
